Date,Details,Amount,Currency,Debit/Credit,Status,
28 Feb 2025,Card Payment Received,"18,551.62",USD,Credit,SETTLED, 
15 Feb 2025,EMIRATES INSURANCE,137.95,USD,Debit,SETTLED
04 Feb 2025,NOON.COM,110.69,USD,Debit,SETTLED
23 Feb 2025,Card Payment Received,"12,351.42",USD,Credit,SETTLED
05 Oct 2024,LULU HYPERMARKET,455.00,USD,Debit,SETTLED
14 Jan 2025,UBER AE,105.84,USD,Debit,SETTLED
22 Nov 2024,Card Payment Received,"9,941.27",USD,Credit,SETTLED
08 Dec 2024,Card Payment Received,"11,584.77",USD,Credit,SETTLED
16 Dec 2024,LULU HYPERMARKET,146.76,USD,Debit,SETTLED
28 Jan 2025,AMAZON AE,220.54,USD,Debit,SETTLED
18 Oct 2024,Card Payment Received,"3,788.46",USD,Credit,SETTLED
16 Nov 2024,SPINNEYS AE,131.56,USD,Debit,SETTLED
25 Oct 2024,ADCB BANK FEE,25.46,USD,Debit,SETTLED
15 Mar 2025,NETFLIX.COM,57.55,USD,Debit,SETTLED
25 Mar 2025,LULU HYPERMARKET,259.55,USD,Debit,SETTLED
18 Feb 2025,Card Payment Received,"4,532.98",USD,Credit,SETTLED
23 Mar 2025,SPINNEYS AE,389.93,USD,Debit,SETTLED
04 Mar 2025,Card Payment Received,"8,422.38",USD,Credit,REVERSED
26 Oct 2024,SPINNEYS AE,229.70,USD,Debit,SETTLED
31 Jan 2025,ETIHAD AIRWAYS,"4,986.65",USD,Debit,SETTLED
30 Dec 2024,APPLE.COM BILL,54.88,USD,Debit,SETTLED
17 Mar 2025,Card Payment Received,"4,185.27",USD,Credit,SETTLED
05 Oct 2024,Card Payment Received,"12,325.65",USD,Credit,SETTLED
17 Feb 2025,NOON.COM,415.17,USD,Debit,SETTLED
25 Mar 2025,ETIHAD AIRWAYS,"4,017.20",USD,Debit,SETTLED
23 Oct 2024,ETIHAD AIRWAYS,"2,638.93",USD,Debit,SETTLED
20 Oct 2024,HILTON DUBAI,"1,053.93",USD,Debit,SETTLED
29 Nov 2024,AMAZON AE,93.21,USD,Debit,SETTLED
22 Nov 2024,BOOKING.COM,"1,045.68",USD,Debit,SETTLED
28 Feb 2025,ADCB BANK FEE,11.67,USD,Debit,SETTLED
18 Dec 2024,LULU HYPERMARKET,91.64,USD,Debit,SETTLED
24 Jan 2025,AMAZON AE,342.46,USD,Debit,SETTLED
20 Dec 2024,ADCB BANK FEE,11.48,USD,Debit,SETTLED
04 Jan 2025,HILTON DUBAI,809.48,USD,Debit,SETTLED
25 Nov 2024,Card Payment Received,"4,948.34",USD,Credit,SETTLED
28 Jan 2025,APPLE.COM BILL,67.16,USD,Debit,SETTLED
29 Nov 2024,Card Payment Received,"19,926.47",USD,Credit,SETTLED
16 Mar 2025,SPINNEYS AE,458.06,USD,Debit,SETTLED
23 Mar 2025,ETIHAD AIRWAYS,"4,488.68",USD,Debit,SETTLED
22 Oct 2024,APPLE.COM BILL,80.09,USD,Debit,SETTLED
19 Dec 2024,BOOKING.COM,"1,346.32",USD,Debit,SETTLED
04 Nov 2024,Card Payment Received,"19,922.21",USD,Credit,SETTLED
26 Dec 2024,EMIRATES INSURANCE,795.51,USD,Debit,SETTLED
22 Mar 2025,ZOMATO AE,100.93,USD,Debit,SETTLED
04 Mar 2025,NETFLIX.COM,33.29,USD,Debit,SETTLED
23 Mar 2025,AMAZON AE,88.85,USD,Debit,SETTLED
20 Dec 2024,Card Payment Received,"10,725.22",USD,Credit,SETTLED
14 Nov 2024,SPINNEYS AE,160.68,USD,Debit,SETTLED
29 Dec 2024,AMAZON AE,435.43,USD,Debit,SETTLED
12 Jan 2025,Card Payment Received,"3,082.24",USD,Credit,SETTLED
